Provinsi,Tahun,Jumlah_Air_Bersih,Kapasitas_Produksi_Potensial_Perusahaan_Air_Bersih,Kapasitas_Produksi_Efektif,Efektifitas_Produksi_Air_Bersih_Perusahaan_Air_Bersih,Jumlah_Pekerja_Perusahaan_Air_Bersih,Jumlah_Pekerja_Teknis_Perusahaan_Air_Bersih_Yang_Berpendidikan_Tingkat_SLTA,Jumlah_Pekerja_Teknis_Perusahaan_Air_Bersih_Yang_Berpendidikan_Diatas_SLTA,Jumlah_Pekerja_Non_Teknis_Perusahaan_Air_Bersih,Jumlah_Pekerja_Non_Teknis_Perusahaan_Air_Bersih_Yang_Berpendidikan_Sampai_Dengan_Tingkat_SLTA,Jumlah_Pekerja_Non_Teknis_Perusahaan_Air_Bersih_Yang_Berpendidikan_Diatas_Tingkat_SLTA,Balas_Jasa_Karyawan_Perusahaan_Air_Bersih,Biaya_Bahan_Bakar_dan_Pelumas_yang_Digunakan_Perusahaan_Air_Bersih,Biaya_Listrik_Perusahaan_Air_Bersih,Biaya_Bahan-Bahan_Kimia_Perusahaan_Air_Bersih,Biaya_Penggunaan_Alat_Tulis_dan_Keperluan_Kantor_Perusahaan_Air_Bersih,Biaya_Penggunaan_Suku_Cadang_dan_Pemeliharaan_Kecil_Barang_Modal_Perusahaan_Air_Bersih,Biaya_Sewa_Bangunan_Mesin_Alat-alat_dan_Kendaraan_Perusahaan_Air_Bersih,Biaya_Jasa_jasa_Pengeluaran_Lainnya_Perusahaan_Air_Bersih,Biaya_Operasional_Perusahaan_Air_Bersih ,Jumlah_Pelanggan_Perusahaan_Air_Bersih ,Jumlah_Pelanggan_Kelompok_Sosial_Perusahaan_Air_Bersih,Jumlah_Pelanggan_Kelompok_Non_Niaga_Perusahaan_Air_Bersih ,Jumlah_Pelanggan_Kelompok_Niaga_dan_Industri_Perusahaan_Air_Bersih,Jumlah_Pelanggan_Kelompok_Khusus_dan_Pelanggan_Lainnya,Volume_Air_Bersih_yang_Disalurkan_Perusahaan_Air_Bersih,Volume_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Sosial,Volume_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Non_Niaga_Perusahaan_Air_Bersih,Volume_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Niaga_dan_Industri_Perusahaan_Air_Bersih,Volume_Air_Bersih_Yang_Disalurkan_ke_Pelanggan_Khusus_dan_Pelanggan_Lainnya_Perusahaan_Air_Bersih,"Nilai_Air_Bersih_Yang_Disalurkan_Perusahaan_Air_Bersih                                               
",Nilai_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Sosial ,Nilai_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Non_Niaga ,Nilai_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Niaga_dan_Industri ,Nilai_Air_Bersih_yang_Disalurkan_ke_Pelanggan_Khusus_dan_Pelangan_Lainnya ,Nilai_Pendapatan_dari_Kegiatan_Lain_Perusahaan_Air_Bersih 
Kalimantan Timur,2019,9,8.018,7.201,"89,81",2.377,770,400,1.207,833,374,258.491,10.907,"133,179","78,446","4,465","6,998","6,834","34,789","132,435","464,138","5,685","427,981","29,85",622,"186,859","3,856","119,061","14,41",576,"861,454","12,059","706,988","134,137","8,271",73.804
Kalimantan Utara,2019,5,1.780,1.125,"63,20",345,170,27,148,84,64,39.544,3.188,"13,083","10,741",417,232,162,"7,966","10,581","66,961",589,"56,809","9,539",24,"21,798",407,"16,084","3,474",79,"103,112","1,364","70,467","29,707","1,574",4.752
Sulawesi Utara,2019,14,3.501,1.993,"56,93",949,438,59,452,305,147,51.926,2.418,"13,714","4,851",997,"1,284",259,"5,558","35,941","117,136","2,014","109,988","5,049",85,"31,208",770,"18,519","1,912",403,"115,913","3,722","87,577","17,252","7,362",2.631
Sulawesi Tengah,2019,11,2.886,1.735,"60,12",739,383,41,315,205,110,28.101,879,"4,071",363,497,713,311,"1,728","5,601","99,115","1,136","92,977","4,989",13,"19,389",334,"17,295","1,742",17,"45,569",506,"39,386","5,502",176,3.450
Sulawesi Selatan,2019,24,9.228,7.383,"80,01",3.133,1.407,613,1.113,552,561,233.306,4.780,"39,828","14,211","3,464","5,378","1,845","13,66","136,908","509,644","6,288","473,142","29,732",482,"147,945","4,607","107,84","10,302",2.257,"563,417","7,192","432,266","103,097","20,861",61.654
Sulawesi Tenggara,2019,10,1.860,1.192,"64,09",1.082,458,150,474,271,203,42.318,2.272,"11,276","1,821",778,"1,014",73,"4,424","16,462","94,203",941,"89,338","2,605","1,319","14,642",231,"10,17",739,487,"75,674",943,"62,451","10,235","2,045",6.163
Gorontalo,2019,6,1.398,1.046,"74,82",662,232,60,370,264,106,35.986,820,"8,24","3,601",350,988,452,914,"6,729","88,339","2,761","82,352","2,585",641,"18,984","1,367","13,586","1,345",118,"69,518","2,274","57,644","9,08",519,3.963
Sulawesi Barat,2019,5,849,450,"53,00",299,115,44,140,104,36,13.562,373,"3,748","2,436",197,146,72,"4,002","1,641","63,466","1,056","60,662","1,743",5,"9,874",422,"8,736",530,11,"35,957",619,"31,316","3,849",173,3.897
Maluku,2019,8,1.170,972,"83,08",540,275,24,241,169,72,21.358,1.475,"4,831",11,407,219,311,"1,779","12,388","57,777",651,"54,559","2,385",182,"10,207",183,"8,667",547,85,"52,964",849,"46,118","4,657","1,34",5.102
Maluku Utara,2019,8,1.400,1.228,"87,71",520,263,35,222,145,77,28.649,1.388,"20,41",435,746,"1,215",0,471,"34,099","85,433","1,324","79,778","3,761",570,"24,977",784,"16,238","1,324",55,"86,104","2,405","76,602","6,721",377,7.705
Papua Barat,2019,5,509,326,"64,05",197,95,7,95,75,20,19.229,674,"3,271",238,132,495,72,991,"6,447","25,125",378,"23,359","1,36",28,"5,964",106,"4,31",409,393,"33,117",647,"22,965","4,559","4,946",4.491
Papua Barat Daya,2019,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Papua,2019,7,1.751,1.380,"78,81",362,160,27,175,122,53,37.782,939,"4,751",238,"1,165","1,504",815,"1,101","9,476","70,483","1,138","64,955","4,373",17,"19,872",971,"15,087","1,513",188,"89,249","3,333","71,703","11,512","2,7",7.358
Papua Selatan,2019,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
