provinsi,tahun,air_bersih,kapasitas_potensial,kapasitas_efektif,efektivitas_produksi,jml_pekerja,pekerja_teknis_slta,pekerja_teknis_diploma,pekerja_non_teknis,non_teknis_slta,non_teknis_diploma,balas_jasa,biaya_bahan_bakar,biaya_listrik,biaya_kimia,biaya_atk,biaya_suku_cadang,biaya_sewa,biaya_jasa_lain,Biaya_Operasional_Perusahaan_Air_Bersih ,Jumlah_Pelanggan_Perusahaan_Air_Bersih ,pelanggan_sosial,Jumlah_Pelanggan_Kelompok_Non_Niaga_Perusahaan_Air_Bersih ,pelanggan_niaga,pelanggan_khusus,volume_total,volume_sosial,volume_non_niaga,volume_niaga,volume_khusus,"Nilai_Air_Bersih_Yang_Disalurkan_Perusahaan_Air_Bersih                                               
",Nilai_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Sosial ,Nilai_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Non_Niaga ,Nilai_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Niaga_dan_Industri ,Nilai_Air_Bersih_yang_Disalurkan_ke_Pelanggan_Khusus_dan_Pelangan_Lainnya ,Nilai_Pendapatan_dari_Kegiatan_Lain_Perusahaan_Air_Bersih 
,2020-01-01 00:00:00+00:00,14.0,2.996,2.123,70.86,1.156,465.0,106.0,585.0,363.0,222.0,80.718,3.748,23.803,19.438,991.0,1.637,28.0,5.277,25.904,153.419,1.805,141.982,9.264,368.0,42.652,805.0,31.874,2.599,109.0,174.938,2.749,153.312,18.425,452.0,14.497
,2020-01-01 00:00:00+00:00,12.0,7.698,5.772,74.98,1.582,618.0,325.0,639.0,346.0,293.0,206.358,3.394,73.538,39.106,1.447,7.966,2.282,24.233,146.637,484.336,8.044,438.541,35.7,2.051,113.124,3.428,89.375,11.44,4.627,680.195,10.007,543.193,110.817,16.178,92.59
,2020-01-01 00:00:00+00:00,9.0,8.837,7.757,87.78,2.342,954.0,295.0,1.093,745.0,348.0,267.833,10.154,141.521,97.236,4.939,9.006,9.456,47.83,156.515,499.13,6.039,459.126,32.489,1.476,199.261,3.621,128.529,18.131,701.0,951.766,11.416,766.287,166.786,7.278,107.859
,2020-01-01 00:00:00+00:00,5.0,1.784,1.108,62.11,381.0,154.0,40.0,187.0,119.0,68.0,45.237,1.844,15.13,9.795,419.0,3.755,193.0,7.748,13.588,76.581,622.0,66.28,9.657,22.0,24.251,362.0,17.439,3.378,71.0,110.808,1.189,79.405,28.727,1.487,10.972
,2020-01-01 00:00:00+00:00,14.0,3.707,2.254,60.8,960.0,365.0,53.0,542.0,383.0,159.0,50.38,3.177,11.66,4.821,1.294,896.0,206.0,6.165,17.841,110.848,1.811,103.795,5.121,121.0,29.76,693.0,15.627,2.068,258.0,111.573,2.938,85.131,19.449,4.055,5.029
,2020-01-01 00:00:00+00:00,12.0,3.575,1.808,50.57,757.0,406.0,84.0,267.0,169.0,98.0,29.671,843.0,4.154,440.0,647.0,117.0,37.0,1.285,3.346,100.566,1.096,93.809,5.641,20.0,23.269,265.0,18.196,1.964,10.0,47.159,406.0,40.983,5.673,96.0,3.38
,2020-01-01 00:00:00+00:00,24.0,9.409,7.215,76.68,3.423,1.333,591.0,1.499,709.0,790.0,247.875,4.579,44.562,16.858,2.229,6.656,2.096,15.49,150.523,517.722,6.435,480.139,30.766,382.0,146.838,4.023,110.711,10.352,2.354,588.89,7.19,455.837,103.593,22.27,88.675
,2020-01-01 00:00:00+00:00,11.0,1.992,1.334,66.97,1.101,491.0,114.0,496.0,297.0,199.0,45.353,1.917,10.272,2.011,785.0,1.101,90.0,6.901,16.979,98.484,1.02,93.937,2.188,1.339,15.439,218.0,10.906,724.0,361.0,75.642,867.0,63.727,9.48,1.569,10.232
,2020-01-01 00:00:00+00:00,6.0,1.361,1.047,76.93,674.0,262.0,26.0,386.0,265.0,121.0,35.141,537.0,10.284,4.826,586.0,1.065,242.0,558.0,7.291,79.767,2.653,74.442,2.553,119.0,21.923,1.29,14.495,1.32,30.0,71.967,2.289,60.41,8.935,333.0,3.254
,2020-01-01 00:00:00+00:00,5.0,870.0,507.0,58.28,341.0,127.0,34.0,180.0,121.0,59.0,16.072,379.0,3.42,2.683,213.0,335.0,64.0,3.727,1.574,65.233,1.098,62.363,1.766,6.0,9.465,359.0,8.592,497.0,13.0,35.815,730.0,31.38,3.506,199.0,4.895
,2020-01-01 00:00:00+00:00,8.0,1.381,1.093,79.15,514.0,257.0,22.0,235.0,165.0,70.0,21.277,2.172,4.079,11.0,443.0,323.0,58.0,1.138,9.566,59.513,637.0,55.991,2.645,240.0,9.618,156.0,8.313,631.0,103.0,53.093,727.0,46.252,4.949,1.166,7.381
,2020-01-01 00:00:00+00:00,8.0,1.627,1.488,91.46,570.0,273.0,40.0,257.0,181.0,76.0,33.531,1.235,24.166,548.0,368.0,654.0,530.0,557.0,39.434,90.014,1.619,83.328,4.499,568.0,28.191,783.0,18.171,1.486,155.0,92.439,2.255,82.962,6.758,464.0,6.699
,2020-01-01 00:00:00+00:00,7.0,1.776,1.405,79.11,358.0,150.0,27.0,181.0,128.0,53.0,40.207,1.215,4.847,269.0,858.0,759.0,719.0,2.99,11.815,71.999,1.186,66.329,4.463,21.0,20.698,1.105,15.49,1.574,115.0,86.618,3.646,69.917,11.226,1.83,11.236
,2021-01-01 00:00:00+00:00,19.0,4.441,3.332,75.03,1.481,754.0,175.0,552.0,345.0,207.0,91.739,899.0,27.288,11.558,976.0,2.598,715.0,3.499,28.375,218.367,2.257,194.382,20.907,821.0,54.456,1.262,38.055,3.221,964.0,155.402,3.198,130.379,17.588,4.237,20.044
,2021-01-01 00:00:00+00:00,41.0,14.336,12.854,89.66,3.922,999.0,508.0,2.415,1.476,939.0,287.801,2.876,129.714,39.216,17.916,8.319,1.632,23.703,129.296,902.348,10.13,813.64,77.731,847.0,321.041,11.114,263.195,31.91,845.0,952.824,11.611,774.272,160.785,6.157,80.129
,2021-01-01 00:00:00+00:00,18.0,6.96,5.437,78.12,1.612,669.0,235.0,708.0,407.0,301.0,116.716,4.757,13.942,9.865,1.949,2.855,4.839,5.841,78.485,601.629,4.783,575.531,19.45,1.865,105.405,2.623,90.431,6.852,1.348,367.149,4.73,307.932,48.655,5.831,45.243
